Node_ID,Node_Name,Node_Type
0500520,SOUTH LEDGE DITCH,DIV
0500522,LONGMONT SOUTH PIPELINE,DIV
0500523,SUPPLY DITCH,DIV
0500526,HIGHLAND DITCH,DIV
0500526_I,Highland Ditch Irrigatio,DIV
0500527,ROUGH READY DITCH,DIV
0500528,ST VRAIN PALMERTON DITCH,DIV
0500529,SWEDE DITCH,DIV
0500530,SMEAD DITCH,DIV
0500531,MONTGOMERY PRIVATE DITCH,DIV
0500532,FOOTHILLS INLET,DIV
0500534,GOSS PRIVATE DITCH 1,DIV
0500535,CLOUGH/TRUE DITCH,DIV
0500536,CLOUGH PRIVATE DITCH,DIV
0500537,WEBSTER MCCASLIN DITCH,DIV
0500538,TRUE WEBSTER DITCH,DIV
0500539,JAMES DITCH,DIV
0500542,DAVIS DOWNING DITCH,DIV
0500545,LONGMONT SUPPLY DITCH,DIV
0500546,CHAPMAN MCCASLIN DITCH,DIV
0500547,OLIGARCHY DITCH,DIV
0500547_I,Oligarchy Irrigation,DIV
0500548,DENIO TAYLOR DITCH,DIV
0500549,RUNYAN DITCH,DIV
0500550,PECK DITCH,DIV
0500551,PELLA DITCH,DIV
0500552,CLOVER BASIN DITCH,DIV
0500553,HAGERS MEADOW DITCH,DIV
0500554,NIWOT DITCH,DIV
0500557,NORTHWEST MUT INS CO D,DIV
0500558,SOUTH FLAT DITCH,DIV
0500559,CUSHMAN DITCH,DIV
0500560,BECKWITH DITCH,DIV
0500561,ISLAND DITCH,DIV
0500563,BONUS DITCH,DIV
0500564,LAKE DITCH,DIV
0500564_I,Lake Ditch Irrigation,DIV
0500565,HALDI DITCH,DIV
0500568,CROCKER DITCH,DIV
0500569,TABLE MOUNTAIN DITCH,DIV
0500570,BADER DITCH 1 & 2,DIV
0500571,JOHNSON DITCH,DIV
0500572,STAR DITCH,DIV
0500573,HINMAN DITCH,DIV
0500574,HOLLAND DITCH,DIV
0500575,WILLIAMSON DITCH,DIV
0500589,LAST CHANCE DITCH,DIV
0500601,ZWECK TURNER DITCH,DIV
0500602,JAMES MASON DITCH,DIV
0500603,LEFT HAND DITCH DIVERSIO,DIV
0500619_a,SPURGEON TREATMENT PLANT,DIV
0500619_b,DODD TREATMENT PLANT DEM,DIV
0500648,TOLL GATE DITCH,DIV
0500939,Goosequill Pump Station,DIV
05LONG_IN,LONGMONT INDOOR DEMAND,DIV
05LONG_OUT,LONGMONT OUTDOOR DEMAND,DIV
05_ADP001,Aggregated Diversion Str,DIV
05_ADP002,Aggregated Diversion Str,DIV
05_BRCBT,BOULDER RESERVOIR CB-T I,DIV
05_GLRIN,GOLD LAKE INLET,DIV
05_LHBR,Boulder Res Left Hand In,DIV
05_LHCBT,LEFT HAND CB-T INFLOW,DIV
05_LHVRIN,LEFT HAND VALLEY RES INL,DIV
05_LongCBT,LONGMONTCB-T DELIVERY,DIV
05_SBRANCH,South Branch Diversion S,DIV
05_SVCBT,ST VRAIN CB-T INFLOW,DIV
0600501,Anderson Carrier,DIV
0600501_C,Anderson Carrier,DIV
0600501_I,Anderson Irrigation,DIV
0600513,BOULDER LEFT HAND DITCH,DIV
0600515_D,Boulder and Weld Co Ditc,DIV
0600516,Boulder White Rock Carri,DIV
0600516_I,Boulder White Rock Irrig,DIV
0600518,BUTTE MILL DITCH,DIV
0600520_D,CARR TYLER DITCH,DIV
0600523,DELEHANT DITCH,DIV
0600525,FARMERS DITCH,DIV
0600527,GODDING DAILEY PLUMB D,DIV
0600528,GREEN DITCH,DIV
0600532,HIGHLAND SOUTH SIDE DITC,DIV
0600534,HOUCK 2 DITCH,DIV
0600536,HOWELL DITCH,DIV
0600537,Leggett Carrier,DIV
0600537_I,Leggett Irrigation,DIV
0600538_D,Lower Boulder Ditch,DIV
0600538_I,Lower Boulder Irrigation,DIV
0600542,MC CARTY DITCH,DIV
0600543,N BOULD FARMER DITCH,DIV
0600551,RURAL DITCH,DIV
0600553,SMITH EMMONS DITCH,DIV
0600554,SMITH GOSS DITCH,DIV
0600560,ANDREWS FARWELL DITCH,DIV
0600564_D,Community Ditch,DIV
0600564_I,Community Ditch,DIV
0600565,Leyner Cottonwood Carrie,DIV
0600565_C,Leyner Cottonwood Carrie,DIV
