"Date","2002-Much-Below-Normal","2006-Below-Normal","2010-Normal","2001-Above-Normal","1995-Much-Above-Normal"
05-11,1.10,7.10,113.00,131.00,134.00
05-12,2.20,6.90,319.00,186.00,148.00
05-13,2.30,5.00,228.00,61.00,137.00
05-14,1.60,4.00,208.00,12.00,129.00
05-15,1.10,5.30,293.00,6.20,108.00
05-16,1.20,5.30,274.00,12.00,118.00
05-17,1.30,27.00,274.00,18.00,1010.00
05-18,1.20,15.00,281.00,40.00,880.00
05-19,1.50,6.30,291.00,725.00,700.00
05-20,1.40,18.00,248.00,385.00,640.00
05-21,1.40,25.00,220.00,185.00,600.00
05-22,1.40,31.00,215.00,130.00,520.00
05-23,1.50,49.00,192.00,99.00,460.00
05-24,106.00,28.00,168.00,101.00,520.00
05-25,46.00,12.00,142.00,104.00,560.00
05-26,7.90,14.00,117.00,74.00,720.00
05-27,3.10,9.60,100.00,78.00,980.00
05-28,2.90,13.00,99.00,68.00,1050.00
05-29,3.20,22.00,103.00,74.00,1150.00
05-30,2.80,50.00,347.00,76.00,1500.00
05-31,2.50,35.00,270.00,65.00,1200.00
06-01,2.80,32.00,211.00,55.00,945.00
06-02,5.00,29.00,155.00,28.00,766.00
06-03,3.10,29.00,189.00,46.00,800.00
06-04,37.00,36.00,209.00,41.00,786.00
06-05,2.60,36.00,340.00,47.00,706.00
06-06,3.60,51.00,483.00,54.00,547.00
06-07,2.40,79.00,516.00,48.00,443.00
06-08,2.40,99.00,494.00,121.00,589.00
06-09,2.40,109.00,477.00,226.00,1210.00
06-10,2.50,112.00,456.00,224.00,972.00
06-11,2.60,220.00,378.00,159.00,791.00
06-12,2.40,103.00,926.00,146.00,663.00
06-13,2.30,66.00,1310.00,147.00,481.00
06-14,2.60,64.00,1360.00,165.00,408.00
06-15,2.20,53.00,1110.00,235.00,497.00
06-16,2.00,27.00,783.00,260.00,911.00
06-17,1.90,13.00,625.00,260.00,1150.00
06-18,1.60,11.00,525.00,242.00,1260.00
06-19,1.70,9.90,479.00,231.00,1280.00
06-20,2.10,16.00,472.00,421.00,1250.00
06-21,2.50,25.00,428.00,368.00,1220.00
06-22,2.20,14.00,331.00,252.00,1180.00
06-23,2.40,16.00,277.00,271.00,1130.00
06-24,2.50,14.00,250.00,270.00,996.00
06-25,2.60,46.00,220.00,296.00,880.00
06-26,2.20,11.00,169.00,315.00,808.00
06-27,2.00,9.20,163.00,349.00,762.00
06-28,2.00,11.00,140.00,356.00,772.00
06-29,1.90,19.00,123.00,355.00,1040.00
06-30,1.50,19.00,81.00,417.00,1030.00
07-01,1.20,16.00,42.00,458.00,891.00
07-02,1.40,29.00,40.00,467.00,791.00
07-03,1.50,30.00,72.00,470.00,770.00
07-04,1.60,34.00,72.00,400.00,722.00
07-05,1.40,51.00,178.00,309.00,531.00
07-06,1.40,31.00,89.00,309.00,456.00
07-07,1.40,41.00,74.00,368.00,480.00
07-08,1.40,113.00,111.00,667.00,452.00
07-09,1.40,824.00,77.00,662.00,408.00
07-10,1.50,819.00,57.00,830.00,448.00
07-11,1.50,304.00,38.00,861.00,496.00
