"Date","South_Platte_at_Julesburg_Natural_Flow","South_Platte_at_Julesburg_Regulated_Flow","South_Platte_at_Julesburg_Available_Flow"
2011-12-01,19507.00,752.11,79.30
2012-01-01,36801.00,66400.19,65790.11
2012-02-01,38902.00,52014.38,51488.88
2012-03-01,47363.00,17943.21,17489.57
2012-04-01,65750.00,7393.13,.00
2012-05-01,97091.00,6936.82,0.00
2012-06-01,75864.00,5644.86,0.00
2012-07-01,77500.00,7246.16,0.00
2012-08-01,34992.00,8631.14,3184.48
2012-09-01,36396.00,5672.60,1.22
2012-10-01,53774.00,15415.56,10243.10
2012-11-01,34843.00,5562.42,4865.25
2012-12-01,0.00,968.24,248.61
